Day,widget_id,Hour Of Day,Visits,Conversions
23.3.2024,281081,18:00 - 18:59,1,0
23.3.2024,281081,19:00 - 19:59,1,0
25.3.2024,281081,10:00 - 10:59,1,0
25.3.2024,281081,11:00 - 11:59,1,0
27.3.2024,281081,18:00 - 18:59,1,0
4.4.2024,281081,17:00 - 17:59,1,0
5.4.2024,281081,13:00 - 13:59,1,0
13.4.2024,281081,22:00 - 22:59,1,0
2.4.2024,281067,08:00 - 08:59,1,0
15.4.2024,281062,19:00 - 19:59,1,0
14.4.2024,281056,09:00 - 09:59,1,0
1.4.2024,281051,17:00 - 17:59,1,0
2.4.2024,281051,15:00 - 15:59,1,0
2.4.2024,281050,09:00 - 09:59,1,0
2.4.2024,281050,10:00 - 10:59,1,0
3.4.2024,281050,10:00 - 10:59,1,0
12.4.2024,281050,18:00 - 18:59,1,0
12.4.2024,281050,19:00 - 19:59,1,0
13.4.2024,281050,07:00 - 07:59,1,0
13.4.2024,281050,17:00 - 17:59,1,0
13.4.2024,281050,22:00 - 22:59,1,0
15.4.2024,281050,18:00 - 18:59,1,0
4.4.2024,281049,08:00 - 08:59,12,0
4.4.2024,281049,09:00 - 09:59,11,0
3.4.2024,281049,18:00 - 18:59,10,0
13.4.2024,281049,16:00 - 16:59,7,0
15.4.2024,281049,07:00 - 07:59,7,0
11.4.2024,281049,09:00 - 09:59,6,0
15.4.2024,281049,08:00 - 08:59,6,0
15.4.2024,281049,21:00 - 21:59,6,0
11.4.2024,281049,14:00 - 14:59,5,0
5.4.2024,281049,08:00 - 08:59,4,0
11.4.2024,281049,08:00 - 08:59,4,1
11.4.2024,281049,10:00 - 10:59,4,0
11.4.2024,281049,12:00 - 12:59,4,0
11.4.2024,281049,19:00 - 19:59,4,0
13.4.2024,281049,17:00 - 17:59,4,0
15.4.2024,281049,09:00 - 09:59,4,0
15.4.2024,281049,20:00 - 20:59,4,0
5.4.2024,281049,07:00 - 07:59,3,0
11.4.2024,281049,07:00 - 07:59,3,0
11.4.2024,281049,16:00 - 16:59,3,0
13.4.2024,281049,12:00 - 12:59,3,0
13.4.2024,281049,13:00 - 13:59,3,0
13.4.2024,281049,15:00 - 15:59,3,0
3.4.2024,281049,17:00 - 17:59,2,0
4.4.2024,281049,07:00 - 07:59,2,0
5.4.2024,281049,09:00 - 09:59,2,0
11.4.2024,281049,11:00 - 11:59,2,0
11.4.2024,281049,13:00 - 13:59,2,0
12.4.2024,281049,09:00 - 09:59,2,0
12.4.2024,281049,10:00 - 10:59,2,0
12.4.2024,281049,13:00 - 13:59,2,0
12.4.2024,281049,15:00 - 15:59,2,0
12.4.2024,281049,17:00 - 17:59,2,0
12.4.2024,281049,18:00 - 18:59,2,0
13.4.2024,281049,08:00 - 08:59,2,0
13.4.2024,281049,10:00 - 10:59,2,0
13.4.2024,281049,18:00 - 18:59,2,0
13.4.2024,281049,19:00 - 19:59,2,0
11.4.2024,281049,17:00 - 17:59,1,0
12.4.2024,281049,11:00 - 11:59,1,0
12.4.2024,281049,12:00 - 12:59,1,0
13.4.2024,281049,07:00 - 07:59,1,0
13.4.2024,281049,09:00 - 09:59,1,0
13.4.2024,281049,14:00 - 14:59,1,0
3.4.2024,281047,20:00 - 20:59,1,0
2.4.2024,281046,18:00 - 18:59,1,0
14.4.2024,281046,09:00 - 09:59,1,0
7.4.2024,281045,17:00 - 17:59,1,0
12.4.2024,281045,12:00 - 12:59,1,0
8.4.2024,281045,11:00 - 11:59,0,1
8.4.2024,281044,20:00 - 20:59,1,0
11.4.2024,281043,13:00 - 13:59,1,0
11.4.2024,281043,19:00 - 19:59,1,0
11.4.2024,281043,20:00 - 20:59,1,0
12.4.2024,281043,15:00 - 15:59,1,0
13.4.2024,281043,22:00 - 22:59,1,0
8.4.2024,281042,14:00 - 14:59,1,0
8.4.2024,281042,20:00 - 20:59,1,0
10.4.2024,281042,16:00 - 16:59,1,0
12.4.2024,281042,13:00 - 13:59,1,0
15.4.2024,281042,21:00 - 21:59,1,0
9.4.2024,281042,11:00 - 11:59,0,1
1.4.2024,281041,17:00 - 17:59,1,0
3.4.2024,281041,18:00 - 18:59,1,0
5.4.2024,281041,14:00 - 14:59,1,0
11.4.2024,281041,21:00 - 21:59,1,0
4.4.2024,281040,11:00 - 11:59,9,0
6.4.2024,281040,09:00 - 09:59,8,0
7.4.2024,281040,08:00 - 08:59,8,0
6.4.2024,281040,10:00 - 10:59,7,0
6.4.2024,281040,08:00 - 08:59,6,0
3.4.2024,281040,08:00 - 08:59,5,0
5.4.2024,281040,09:00 - 09:59,5,0
3.4.2024,281040,09:00 - 09:59,4,0
5.4.2024,281040,10:00 - 10:59,4,0
2.4.2024,281040,10:00 - 10:59,3,0
2.4.2024,281040,11:00 - 11:59,3,0
2.4.2024,281040,12:00 - 12:59,3,0
14.4.2024,281040,14:00 - 14:59,3,0
15.4.2024,281040,08:00 - 08:59,3,0
15.4.2024,281040,09:00 - 09:59,3,0
15.4.2024,281040,11:00 - 11:59,3,0
15.4.2024,281040,21:00 - 21:59,3,0
1.4.2024,281040,13:00 - 13:59,2,0
2.4.2024,281040,07:00 - 07:59,2,0
